building_code,latitude,longitude,building_name
YPM,41.3163,-72.9223,Yale Peabody Museum
KGL,41.3111,-72.9267,Kline Geology Laboratory
ESC,41.3090,-72.9282,Environmental Science Center
CSC,41.2900,-72.9658,West Campus - CSC
BRBL,41.3113,-72.9289,Beinecke Rare Book Library
YCBA,41.3083,-72.9318,Yale Center for British Art
FAST,41.2900,-72.9658,West Campus - FAST
KAHN,41.3084,-72.9310,Kahn Building
KHAN,41.3084,-72.9310,Khan Building
OYAG,41.3084,-72.9310,OYAG Gallery
SH,41.2900,-72.9658,West Campus - SH
BARCH,41.3113,-72.9289,Beinecke Archive
