logger_id,logger_name,readings_last_24_hours,latest_last_24_hours,readings_last_7_days,latest_last_7_days,readings_last_30_days,latest_last_30_days,readings_last_90_days,latest_last_90_days,readings_last_year,latest_last_year
22202142,RX Station 1,0,,0,,0,,79168,2025-02-10 19:16:00Z,95912,2025-02-10 19:16:00Z
22202141,RX Station 2,0,,0,,0,,600,2025-01-15 19:05:00Z,600,2025-01-15 19:05:00Z
10740550,C149 X-Ray,0,,0,,0,,3308,2025-01-14 21:00:00Z,100000,2024-10-11 12:56:56Z
10889153,C145 Structural,0,,0,,232,2025-02-24 14:30:00Z,5369,2025-02-24 14:30:00Z,41439,2025-02-24 14:30:00Z
10889154,C107 Enviro Chamber,0,,0,,774,2025-02-26 18:00:00Z,4497,2025-02-26 18:00:00Z,30990,2025-02-26 18:00:00Z
20284064,C137 Raman,0,,0,,692,2025-02-26 18:00:00Z,2548,2025-02-26 18:00:00Z,41821,2025-02-26 18:00:00Z
20284065,C134,0,,0,,208,2025-02-26 18:00:00Z,2066,2025-02-26 18:00:00Z,41343,2025-02-26 18:00:00Z
20447203,LML Cold Room,0,,0,,774,2025-02-26 18:00:00Z,4496,2025-02-26 18:00:00Z,28406,2025-02-26 18:00:00Z
22040302,MX TRH 3,0,,0,,676,2025-02-19 19:30:00Z,5374,2025-02-19 19:30:00Z,5374,2025-02-19 19:30:00Z
22040303,MX TRH 1,0,,0,,2160,2025-02-26 18:00:00Z,5522,2025-02-26 18:00:00Z,5522,2025-02-26 18:00:00Z
22040304,MX TRH 2,0,,0,,3600,2025-02-26 18:05:00Z,7516,2025-02-26 18:05:00Z,7520,2025-02-26 18:05:00Z
22040305,MX TRH 4,0,,0,,186,2025-02-19 19:30:00Z,5346,2025-02-19 19:30:00Z,5346,2025-02-19 19:30:00Z
22194277,Temp RH Light 1,0,,0,,3168,2025-02-26 18:00:00Z,15847,2025-02-26 18:00:00Z,16967,2025-02-26 18:00:00Z
22194278,Temp RH Light 2,0,,0,,0,,6009,2025-01-27 13:20:00Z,6009,2025-01-27 13:20:00Z
